REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
R1,MINGASNPL,2,2039,5.596099609
R1,MINGASNPL,1,2040,5.596099609
R1,MINGASNPL,2,2040,5.596099609
R1,MINGASNPL,1,2041,5.596099609
R1,MINGASNPL,2,2041,5.596099609
R1,MINGASNPL,1,2042,5.596099609
R1,MINGASNPL,2,2042,5.596099609
R1,MINGASNPL,1,2043,5.596099609
R1,MINGASNPL,2,2043,5.596099609
R1,MINGASNPL,1,2044,5.596099609
R1,MINGASNPL,2,2044,5.596099609
R1,MINGASNPL,1,2045,5.596099609
R1,MINGASNPL,2,2045,5.596099609
R1,MINGASNPL,1,2046,5.596099609
R1,MINGASNPL,2,2046,5.596099609
R1,MINGASNPL,1,2047,5.596099609
R1,MINGASNPL,2,2047,5.596099609
R1,MINGASNPL,1,2048,5.596099609
R1,MINGASNPL,2,2048,5.596099609
R1,MINGASNPL,1,2049,5.596099609
R1,MINGASNPL,2,2049,5.596099609
R1,MINGASNPL,1,2050,5.596099609
R1,MINGASNPL,2,2050,5.596099609
R1,MINGASNPL,1,2051,5.596099609
R1,MINGASNPL,2,2051,5.596099609
R1,MINGASNPL,1,2052,5.596099609
R1,MINGASNPL,2,2052,5.596099609
R1,MINGASNPL,1,2053,5.596099609
R1,MINGASNPL,2,2053,5.596099609
R1,MINGASNPL,1,2054,5.596099609
R1,MINGASNPL,2,2054,5.596099609
R1,MINGASNPL,1,2055,5.596099609
R1,MINGASNPL,2,2055,5.596099609
R1,MINGASNPL,1,2056,5.596099609
R1,MINGASNPL,2,2056,5.596099609
R1,MINGASNPL,1,2057,5.596099609
R1,MINGASNPL,2,2057,5.596099609
R1,MINGASNPL,1,2058,5.596099609
R1,MINGASNPL,2,2058,5.596099609
R1,MINGASNPL,1,2059,5.596099609
R1,MINGASNPL,2,2059,5.596099609
R1,MINGASNPL,1,2060,5.596099609
R1,MINGASNPL,2,2060,5.596099609
R1,MINGASNPL,1,2061,5.596099609
R1,MINGASNPL,2,2061,5.596099609
R1,MINGASNPL,1,2062,5.596099609
R1,MINGASNPL,2,2062,5.596099609
R1,MINGASNPL,1,2063,5.596099609
R1,MINGASNPL,2,2063,5.596099609
R1,MINGASNPL,1,2064,5.596099609
R1,MINGASNPL,2,2064,5.596099609
R1,MINGASNPL,1,2065,5.596099609
R1,MINGASNPL,2,2065,5.596099609
R1,MINGASNPL,1,2066,5.596099609
R1,MINGASNPL,2,2066,5.596099609
R1,MINGASNPL,1,2067,5.596099609
R1,MINGASNPL,2,2067,5.596099609
R1,MINGASNPL,1,2068,5.596099609
R1,MINGASNPL,2,2068,5.596099609
R1,MINGASNPL,1,2069,5.596099609
R1,MINGASNPL,2,2069,5.596099609
R1,MINGASNPL,1,2070,5.596099609
R1,MINGASNPL,2,2070,5.596099609
R1,MINGASINT,1,2020,0.445233875
R1,MINGASINT,2,2020,0.445233875
R1,MINGASINT,1,2021,0.579599026
R1,MINGASINT,2,2021,0.579599026
R1,MINGASINT,1,2022,0.604955069
R1,MINGASINT,2,2022,0.604955069
R1,MINGASINT,1,2023,0.63105259
R1,MINGASINT,2,2023,0.63105259
R1,MINGASINT,1,2024,0.657965071
R1,MINGASINT,2,2024,0.657965071
R1,MINGASINT,1,2025,0.685751623
R1,MINGASINT,2,2025,0.685751623
R1,MINGASINT,1,2026,0.716484287
R1,MINGASINT,2,2026,0.716484287
R1,MINGASINT,1,2027,0.74721695
R1,MINGASINT,2,2027,0.74721695
R1,MINGASINT,1,2028,0.777949614
R1,MINGASINT,2,2028,0.777949614
R1,MINGASINT,1,2029,0.808682278
R1,MINGASINT,2,2029,0.808682278
R1,MINGASINT,1,2030,0.839414941
R1,MINGASINT,2,2030,0.839414941
R1,MINGASINT,1,2031,0.839414941
R1,MINGASINT,2,2031,0.839414941
R1,MINGASINT,1,2032,0.839414941
R1,MINGASINT,2,2032,0.839414941
R1,MINGASINT,1,2033,0.839414941
R1,MINGASINT,2,2033,0.839414941
R1,MINGASINT,1,2034,0.839414941
R1,MINGASINT,2,2034,0.839414941
R1,MINGASINT,1,2035,0.839414941
R1,MINGASINT,2,2035,0.839414941
R1,MINGASINT,1,2036,0.839414941
R1,MINGASINT,2,2036,0.839414941
R1,MINGASINT,1,2037,0.839414941
R1,MINGASINT,2,2037,0.839414941
R1,MINGASINT,1,2038,0.839414941
R1,MINGASINT,2,2038,0.839414941
R1,MINGASINT,1,2039,0.839414941
R1,MINGASINT,2,2039,0.839414941
R1,MINGASINT,1,2040,0.839414941
R1,MINGASINT,2,2040,0.839414941
R1,MINGASINT,1,2041,0.839414941
