REGION,TECHNOLOGY,YEAR,VALUE
R1,PWRPETNPLXX01,2049,21
R1,PWRPETNPLXX01,2050,21
R1,PWRPETNPLXX01,2051,21
R1,PWRPETNPLXX01,2052,21
R1,PWRPETNPLXX01,2053,21
R1,PWRPETNPLXX01,2054,21
R1,PWRPETNPLXX01,2055,21
R1,PWRPETNPLXX01,2056,21
R1,PWRPETNPLXX01,2057,21
R1,PWRPETNPLXX01,2058,21
R1,PWRPETNPLXX01,2059,21
R1,PWRPETNPLXX01,2060,21
R1,PWRPETNPLXX01,2061,21
R1,PWRPETNPLXX01,2062,21
R1,PWRPETNPLXX01,2063,21
R1,PWRPETNPLXX01,2064,21
R1,PWRPETNPLXX01,2065,21
R1,PWRPETNPLXX01,2066,21
R1,PWRPETNPLXX01,2067,21
R1,PWRPETNPLXX01,2068,21
R1,PWRPETNPLXX01,2069,21
R1,PWRPETNPLXX01,2070,21
R1,PWRSPVNPLXX01,2020,16
R1,PWRSPVNPLXX01,2021,16
R1,PWRSPVNPLXX01,2022,16
R1,PWRSPVNPLXX01,2023,16
R1,PWRSPVNPLXX01,2024,16
R1,PWRSPVNPLXX01,2025,16
R1,PWRSPVNPLXX01,2026,16
R1,PWRSPVNPLXX01,2027,16
R1,PWRSPVNPLXX01,2028,16
R1,PWRSPVNPLXX01,2029,16
R1,PWRSPVNPLXX01,2030,16
R1,PWRSPVNPLXX01,2031,16
R1,PWRSPVNPLXX01,2032,16
R1,PWRSPVNPLXX01,2033,16
R1,PWRSPVNPLXX01,2034,16
R1,PWRSPVNPLXX01,2035,16
R1,PWRSPVNPLXX01,2036,16
R1,PWRSPVNPLXX01,2037,16
R1,PWRSPVNPLXX01,2038,16
R1,PWRSPVNPLXX01,2039,16
R1,PWRSPVNPLXX01,2040,16
R1,PWRSPVNPLXX01,2041,16
R1,PWRSPVNPLXX01,2042,16
R1,PWRSPVNPLXX01,2043,16
R1,PWRSPVNPLXX01,2044,16
R1,PWRSPVNPLXX01,2045,16
R1,PWRSPVNPLXX01,2046,16
R1,PWRSPVNPLXX01,2047,16
R1,PWRSPVNPLXX01,2048,16
R1,PWRSPVNPLXX01,2049,16
R1,PWRSPVNPLXX01,2050,16
R1,PWRSPVNPLXX01,2051,16
R1,PWRSPVNPLXX01,2052,16
R1,PWRSPVNPLXX01,2053,16
R1,PWRSPVNPLXX01,2054,16
R1,PWRSPVNPLXX01,2055,16
R1,PWRSPVNPLXX01,2056,16
R1,PWRSPVNPLXX01,2057,16
R1,PWRSPVNPLXX01,2058,16
R1,PWRSPVNPLXX01,2059,16
R1,PWRSPVNPLXX01,2060,16
R1,PWRSPVNPLXX01,2061,16
R1,PWRSPVNPLXX01,2062,16
R1,PWRSPVNPLXX01,2063,16
R1,PWRSPVNPLXX01,2064,16
R1,PWRSPVNPLXX01,2065,16
R1,PWRSPVNPLXX01,2066,16
