REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S2D2,ELCNPLXX02,2062,53.225575
GLOBAL,S2D2,ELCNPLXX02,2063,55.077169
GLOBAL,S2D2,ELCNPLXX02,2064,56.92889
GLOBAL,S2D2,ELCNPLXX02,2065,58.780485
GLOBAL,S2D2,ELCNPLXX02,2066,60.806851
GLOBAL,S2D2,ELCNPLXX02,2067,62.833217
GLOBAL,S2D2,ELCNPLXX02,2068,64.859583
GLOBAL,S2D2,ELCNPLXX02,2069,66.886076
GLOBAL,S2D2,ELCNPLXX02,2070,68.912442
GLOBAL,S3D1,ELCNPLXX02,2020,6.0834236
GLOBAL,S3D1,ELCNPLXX02,2021,6.8859599
GLOBAL,S3D1,ELCNPLXX02,2022,7.6884962
GLOBAL,S3D1,ELCNPLXX02,2023,8.4910324
GLOBAL,S3D1,ELCNPLXX02,2024,9.2935687
GLOBAL,S3D1,ELCNPLXX02,2025,10.096105
GLOBAL,S3D1,ELCNPLXX02,2026,11.039759
GLOBAL,S3D1,ELCNPLXX02,2027,11.983398
GLOBAL,S3D1,ELCNPLXX02,2028,12.927038
GLOBAL,S3D1,ELCNPLXX02,2029,13.870692
GLOBAL,S3D1,ELCNPLXX02,2030,14.814331
GLOBAL,S3D1,ELCNPLXX02,2031,15.88194
GLOBAL,S3D1,ELCNPLXX02,2032,16.949415
GLOBAL,S3D1,ELCNPLXX02,2033,18.01689
GLOBAL,S3D1,ELCNPLXX02,2034,19.084514
GLOBAL,S3D1,ELCNPLXX02,2035,20.151989
GLOBAL,S3D1,ELCNPLXX02,2036,21.343209
GLOBAL,S3D1,ELCNPLXX02,2037,22.53443
GLOBAL,S3D1,ELCNPLXX02,2038,23.72565
GLOBAL,S3D1,ELCNPLXX02,2039,24.916721
GLOBAL,S3D1,ELCNPLXX02,2040,26.107941
GLOBAL,S3D1,ELCNPLXX02,2041,27.405699
GLOBAL,S3D1,ELCNPLXX02,2042,28.703458
GLOBAL,S3D1,ELCNPLXX02,2043,30.001216
GLOBAL,S3D1,ELCNPLXX02,2044,31.298974
GLOBAL,S3D1,ELCNPLXX02,2045,32.596733
GLOBAL,S3D1,ELCNPLXX02,2046,34.033649
GLOBAL,S3D1,ELCNPLXX02,2047,35.470714
GLOBAL,S3D1,ELCNPLXX02,2048,36.907631
GLOBAL,S3D1,ELCNPLXX02,2049,38.344696
GLOBAL,S3D1,ELCNPLXX02,2050,39.781762
GLOBAL,S3D1,ELCNPLXX02,2051,41.590364
GLOBAL,S3D1,ELCNPLXX02,2052,43.398966
GLOBAL,S3D1,ELCNPLXX02,2053,45.207568
GLOBAL,S3D1,ELCNPLXX02,2054,47.01632
GLOBAL,S3D1,ELCNPLXX02,2055,48.824922
GLOBAL,S3D1,ELCNPLXX02,2056,50.829841
GLOBAL,S3D1,ELCNPLXX02,2057,52.83491
GLOBAL,S3D1,ELCNPLXX02,2058,54.839829
GLOBAL,S3D1,ELCNPLXX02,2059,56.844898
GLOBAL,S3D1,ELCNPLXX02,2060,58.849817
GLOBAL,S3D1,ELCNPLXX02,2061,61.050155
GLOBAL,S3D1,ELCNPLXX02,2062,63.250494
GLOBAL,S3D1,ELCNPLXX02,2063,65.450832
GLOBAL,S3D1,ELCNPLXX02,2064,67.651321
GLOBAL,S3D1,ELCNPLXX02,2065,69.851659
GLOBAL,S3D1,ELCNPLXX02,2066,72.259687
GLOBAL,S3D1,ELCNPLXX02,2067,74.667715
GLOBAL,S3D1,ELCNPLXX02,2068,77.075742
GLOBAL,S3D1,ELCNPLXX02,2069,79.48392
GLOBAL,S3D1,ELCNPLXX02,2070,81.891948
GLOBAL,S3D2,ELCNPLXX02,2020,5.7250419
GLOBAL,S3D2,ELCNPLXX02,2021,6.4802998
GLOBAL,S3D2,ELCNPLXX02,2022,7.2355577
GLOBAL,S3D2,ELCNPLXX02,2023,7.9908156
GLOBAL,S3D2,ELCNPLXX02,2024,8.7460735
GLOBAL,S3D2,ELCNPLXX02,2025,9.5013314
GLOBAL,S3D2,ELCNPLXX02,2026,10.389394
GLOBAL,S3D2,ELCNPLXX02,2027,11.277442
GLOBAL,S3D2,ELCNPLXX02,2028,12.16549
GLOBAL,S3D2,ELCNPLXX02,2029,13.053553
GLOBAL,S3D2,ELCNPLXX02,2030,13.941601
GLOBAL,S3D2,ELCNPLXX02,2031,14.946316
GLOBAL,S3D2,ELCNPLXX02,2032,15.950905
GLOBAL,S3D2,ELCNPLXX02,2033,16.955493
GLOBAL,S3D2,ELCNPLXX02,2034,17.960223
GLOBAL,S3D2,ELCNPLXX02,2035,18.964811
GLOBAL,S3D2,ELCNPLXX02,2036,20.085855
GLOBAL,S3D2,ELCNPLXX02,2037,21.206899
GLOBAL,S3D2,ELCNPLXX02,2038,22.327944
GLOBAL,S3D2,ELCNPLXX02,2039,23.448847
GLOBAL,S3D2,ELCNPLXX02,2040,24.569891
GLOBAL,S3D2,ELCNPLXX02,2041,25.791197
GLOBAL,S3D2,ELCNPLXX02,2042,27.012503
GLOBAL,S3D2,ELCNPLXX02,2043,28.233808
GLOBAL,S3D2,ELCNPLXX02,2044,29.455114
GLOBAL,S3D2,ELCNPLXX02,2045,30.67642
GLOBAL,S3D2,ELCNPLXX02,2046,32.028686
GLOBAL,S3D2,ELCNPLXX02,2047,33.381092
GLOBAL,S3D2,ELCNPLXX02,2048,34.733358
GLOBAL,S3D2,ELCNPLXX02,2049,36.085764
GLOBAL,S3D2,ELCNPLXX02,2050,37.438171
GLOBAL,S3D2,ELCNPLXX02,2051,39.140226
GLOBAL,S3D2,ELCNPLXX02,2052,40.842281
GLOBAL,S3D2,ELCNPLXX02,2053,42.544336
GLOBAL,S3D2,ELCNPLXX02,2054,44.246532
GLOBAL,S3D2,ELCNPLXX02,2055,45.948587
GLOBAL,S3D2,ELCNPLXX02,2056,47.835394
GLOBAL,S3D2,ELCNPLXX02,2057,49.722342
GLOBAL,S3D2,ELCNPLXX02,2058,51.609149
GLOBAL,S3D2,ELCNPLXX02,2059,53.496097
GLOBAL,S3D2,ELCNPLXX02,2060,55.382904
GLOBAL,S3D2,ELCNPLXX02,2061,57.453618
GLOBAL,S3D2,ELCNPLXX02,2062,59.524332
GLOBAL,S3D2,ELCNPLXX02,2063,61.595046
GLOBAL,S3D2,ELCNPLXX02,2064,63.6659
GLOBAL,S3D2,ELCNPLXX02,2065,65.736614
GLOBAL,S3D2,ELCNPLXX02,2066,68.002782
GLOBAL,S3D2,ELCNPLXX02,2067,70.26895
GLOBAL,S3D2,ELCNPLXX02,2068,72.535118
GLOBAL,S3D2,ELCNPLXX02,2069,74.801427
GLOBAL,S3D2,ELCNPLXX02,2070,77.067595
GLOBAL,S4D1,ELCNPLXX02,2020,5.0568215
